10e to 10w: 10e 10w, Length: 121.20
10e to 11n: 10e 14s 17w 16w 15w 11n, Length: 363.60
10e to 11s: 10e 10w 9w 8w 11s, Length: 303.00
10e to 12n: 10e 14s 17w 16w 12n, Length: 303.00
10e to 12s: 10e 10w 9w 12s, Length: 242.40
10e to 13n: 10e 14s 17w 13n, Length: 242.40
10e to 13s: 10e 10w 13s, Length: 181.80
10e to 14n: 10e 14s 14n, Length: 181.80
10e to 14s: 10e 14s, Length: 121.20
10e to 15e: 10e 14s 17w 16w 15w 15e, Length: 363.60
10e to 15w: 10e 14s 17w 16w 15w, Length: 303.00
10e to 16e: 10e 14s 17w 16w 16e, Length: 303.00
10e to 16w: 10e 14s 17w 16w, Length: 242.40
10e to 17e: 10e 14s 17w 17e, Length: 242.40
10e to 17w: 10e 14s 17w, Length: 181.80
10e to 18n: 10e 14s 17w 16w 15w 18s 18n, Length: 428.20
10e to 18s: 10e 14s 17w 16w 15w 18s, Length: 365.60
10e to 19n: 10e 14s 17w 16w 19s 19n, Length: 363.60
10e to 19s: 10e 14s 17w 16w 19s, Length: 303.00
10e to 1e: 10e 7n 3w 2w 1w 1e, Length: 371.60
10e to 1w: 10e 7n 3w 2w 1w, Length: 309.00
10e to 20n: 10e 14s 17w 20s 20n, Length: 303.00
10e to 20s: 10e 14s 17w 20s, Length: 242.40
10e to 21n: 10e 14s 21s 21n, Length: 246.40
10e to 21s: 10e 14s 21s, Length: 183.80
10e to 22e: 10e 14s 17w 16w 15w 18s 22e, Length: 428.20
10e to 22w: 10e 14s 17w 16w 19s 22w, Length: 365.60
10e to 23e: 10e 14s 17w 16w 19s 23e, Length: 363.60
10e to 23w: 10e 14s 17w 20s 23w, Length: 303.00
10e to 24e: 10e 14s 17w 20s 24e, Length: 305.00
10e to 24w: 10e 14s 21s 24w, Length: 246.40
10e to 2e: 10e 7n 3w 2w 2e, Length: 307.00
10e to 2w: 10e 7n 3w 2w, Length: 246.40
10e to 3e: 10e 7n 3w 3e, Length: 248.40
10e to 3w: 10e 7n 3w, Length: 185.80
10e to 4n: 10e 10w 9w 8w 4n, Length: 305.00
10e to 4s: 10e 7n 3w 2w 1w 4s, Length: 371.60
10e to 5n: 10e 10w 9w 5n, Length: 242.40
10e to 5s: 10e 7n 3w 2w 5s, Length: 307.00
10e to 6n: 10e 10w 6n, Length: 181.80
10e to 6s: 10e 7n 3w 6s, Length: 246.40
10e to 7n: 10e 7n, Length: 123.20
10e to 7s: 10e 7n 7s, Length: 185.80
10e to 8e: 10e 10w 9w 8w 8e, Length: 303.00
10e to 8w: 10e 10w 9w 8w, Length: 242.40
10e to 9e: 10e 10w 9w 9e, Length: 242.40
10e to 9w: 10e 10w 9w, Length: 181.80
10w to 10e: 10w 10e, Length: 121.20
10w to 11n: 10w 9w 8w 11s 11n, Length: 303.00
10w to 11s: 10w 9w 8w 11s, Length: 242.40
10w to 12n: 10w 9w 12s 12n, Length: 242.40
10w to 12s: 10w 9w 12s, Length: 181.80
10w to 13n: 10w 13s 13n, Length: 181.80
10w to 13s: 10w 13s, Length: 121.20
10w to 14n: 10w 13s 17e 14n, Length: 242.40
10w to 14s: 10w 10e 14s, Length: 181.80
10w to 15e: 10w 9w 8w 11s 15e, Length: 303.00
10w to 15w: 10w 9w 12s 15w, Length: 242.40
10w to 16e: 10w 9w 12s 16e, Length: 242.40
10w to 16w: 10w 13s 16w, Length: 181.80
10w to 17e: 10w 13s 17e, Length: 181.80
10w to 17w: 10w 13s 17e 17w, Length: 242.40
10w to 18n: 10w 9w 8w 11s 18s 18n, Length: 367.60
10w to 18s: 10w 9w 8w 11s 18s, Length: 305.00
10w to 19n: 10w 9w 12s 19s 19n, Length: 303.00
10w to 19s: 10w 9w 12s 19s, Length: 242.40
10w to 1e: 10w 6n 2w 1w 1e, Length: 307.00
10w to 1w: 10w 6n 2w 1w, Length: 244.40
10w to 20n: 10w 13s 20s 20n, Length: 242.40
10w to 20s: 10w 13s 20s, Length: 181.80
10w to 21n: 10w 13s 20s 24e 21n, Length: 307.00
10w to 21s: 10w 13s 17e 21s, Length: 244.40
10w to 22e: 10w 9w 8w 11s 18s 22e, Length: 367.60
10w to 22w: 10w 9w 12s 19s 22w, Length: 305.00
10w to 23e: 10w 9w 12s 19s 23e, Length: 303.00
10w to 23w: 10w 13s 20s 23w, Length: 242.40
10w to 24e: 10w 13s 20s 24e, Length: 244.40
10w to 24w: 10w 13s 20s 24e 24w, Length: 307.00
10w to 2e: 10w 6n 2w 2e, Length: 242.40
10w to 2w: 10w 6n 2w, Length: 181.80
10w to 3e: 10w 6n 3e, Length: 183.80
10w to 3w: 10w 6n 3e 3w, Length: 246.40
10w to 4n: 10w 9w 8w 4n, Length: 244.40
10w to 4s: 10w 6n 2w 1w 4s, Length: 307.00
10w to 5n: 10w 9w 5n, Length: 181.80
10w to 5s: 10w 6n 2w 5s, Length: 242.40
10w to 6n: 10w 6n, Length: 121.20
10w to 6s: 10w 6n 6s, Length: 181.80
10w to 7n: 10w 10e 7n, Length: 183.80
10w to 7s: 10w 6n 3e 7s, Length: 246.40
10w to 8e: 10w 9w 8w 8e, Length: 242.40
10w to 8w: 10w 9w 8w, Length: 181.80
10w to 9e: 10w 9w 9e, Length: 181.80
10w to 9w: 10w 9w, Length: 121.20
11n to 10e: 11n 8e 9e 10e, Length: 242.40
11n to 10w: 11n 8e 9e 10e 10w, Length: 303.00
11n to 11s: 11n 11s, Length: 121.20
11n to 12n: 11n 8e 12s 12n, Length: 242.40
11n to 12s: 11n 8e 12s, Length: 181.80
11n to 13n: 11n 8e 12s 16e 13n, Length: 303.00
11n to 13s: 11n 8e 9e 13s, Length: 242.40
11n to 14n: 11n 8e 12s 16e 17e 14n, Length: 363.60
11n to 14s: 11n 8e 9e 10e 14s, Length: 303.00
11n to 15e: 11n 11s 15e, Length: 181.80
11n to 15w: 11n 8e 12s 15w, Length: 242.40
11n to 16e: 11n 8e 12s 16e, Length: 242.40
11n to 16w: 11n 8e 12s 16e 16w, Length: 303.00
11n to 17e: 11n 8e 12s 16e 17e, Length: 303.00
11n to 17w: 11n 8e 12s 16e 17e 17w, Length: 363.60
11n to 18n: 11n 11s 18s 18n, Length: 246.40
11n to 18s: 11n 11s 18s, Length: 183.80
11n to 19n: 11n 8e 12s 19s 19n, Length: 303.00
11n to 19s: 11n 8e 12s 19s, Length: 242.40
11n to 1e: 11n 4n 1e, Length: 185.80
11n to 1w: 11n 8e 5n 1w, Length: 244.40
11n to 20n: 11n 8e 12s 19s 23e 20n, Length: 363.60
11n to 20s: 11n 8e 12s 16e 20s, Length: 303.00
11n to 21n: 11n 8e 12s 19s 23e 24e 21n, Length: 428.20
11n to 21s: 11n 8e 12s 16e 17e 21s, Length: 365.60
11n to 22e: 11n 11s 18s 22e, Length: 246.40
11n to 22w: 11n 8e 12s 19s 22w, Length: 305.00
11n to 23e: 11n 8e 12s 19s 23e, Length: 303.00
11n to 23w: 11n 8e 12s 19s 23e 23w, Length: 363.60
11n to 24e: 11n 8e 12s 19s 23e 24e, Length: 365.60
11n to 24w: 11n 8e 12s 19s 23e 24e 24w, Length: 428.20
11n to 2e: 11n 8e 5n 2e, Length: 242.40
11n to 2w: 11n 8e 9e 6n 2w, Length: 303.00
11n to 3e: 11n 8e 9e 6n 3e, Length: 305.00
11n to 3w: 11n 8e 9e 10e 7n 3w, Length: 367.60
11n to 4n: 11n 4n, Length: 123.20
11n to 4s: 11n 4n 4s, Length: 185.80
11n to 5n: 11n 8e 5n, Length: 181.80
11n to 5s: 11n 8e 5n 5s, Length: 242.40
11n to 6n: 11n 8e 9e 6n, Length: 242.40
11n to 6s: 11n 8e 9e 6n 6s, Length: 303.00
11n to 7n: 11n 8e 9e 10e 7n, Length: 305.00
11n to 7s: 11n 8e 9e 10e 7n 7s, Length: 367.60
11n to 8e: 11n 8e, Length: 121.20
11n to 8w: 11n 8e 8w, Length: 181.80
11n to 9e: 11n 8e 9e, Length: 181.80
11n to 9w: 11n 8e 9e 9w, Length: 242.40
11s to 10e: 11s 15e 16e 13n 10e, Length: 303.00
11s to 10w: 11s 15e 16e 17e 14n 10w, Length: 363.60
11s to 11n: 11s 11n, Length: 121.20
11s to 12n: 11s 15e 12n, Length: 181.80
11s to 12s: 11s 15e 12n 12s, Length: 242.40
11s to 13n: 11s 15e 16e 13n, Length: 242.40
11s to 13s: 11s 15e 16e 13n 13s, Length: 303.00
11s to 14n: 11s 15e 16e 17e 14n, Length: 303.00
11s to 14s: 11s 15e 16e 17e 14n 14s, Length: 363.60
11s to 15e: 11s 15e, Length: 121.20
11s to 15w: 11s 15e 15w, Length: 181.80
11s to 16e: 11s 15e 16e, Length: 181.80
11s to 16w: 11s 15e 16e 16w, Length: 242.40
