net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_disallow;type_id;type_numLanes;type_oneway;type_priority;type_speed;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_shape;edge_to;edge_type;param_key;param_value;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;connection_keepClear
5;5.50;1.20;626.73,513.24,1608.08,1051.02;-363361.41,-4348703.41;-76.584320,39.277133,-76.562162,39.290085;+proj=utm +zone=18 +ellps=WGS84 +datum=WGS84 +units=m +no_defs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;tram rail_urban rail rail_electric rail_fast ship;highway.primary;2;0;12;27.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;tram rail_urban rail rail_electric rail_fast ship;highway.residential;1;0;3;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;tram rail_urban rail rail_electric rail_fast ship;highway.tertiary;1;0;10;22.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_0_0;0;0.31;1384.36,939.36 1384.04,939.35;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_0_1;1;0.31;1384.45,936.16 1384.15,936.15;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_2_0;0;2.34;1384.45,936.16 1383.28,935.33 1382.90,934.52;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_6;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_6_0;0;2.34;1382.90,934.52 1383.32,933.73 1384.55,932.97;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_3_0;0;0.29;1384.36,929.76 1384.64,929.77;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_3_1;1;0.29;1384.25,932.96 1384.55,932.97;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_5;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_5_0;0;2.34;1384.25,932.96 1385.43,933.80 1385.80,934.61;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3167917444_7;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3167917444_7_0;0;2.34;1385.80,934.61 1385.37,935.39 1384.15,936.15;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212071_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212071_0_0;0;0.10;1332.40,741.38 1332.40,741.38;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212071_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212071_1_0;0;0.10;1329.20,741.28 1329.20,741.28;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212072_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212072_0_0;0;0.27;1412.46,744.74 1412.46,745.01;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212072_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212072_1_0;0;0.31;1409.26,744.96 1409.26,744.65;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212073_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212073_0_0;0;0.10;1411.48,787.89 1411.48,787.89;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212073_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212073_1_0;0;0.10;1408.28,787.79 1408.28,787.79;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212076_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212076_0_0;0;0.30;1450.34,822.55 1450.64,822.55;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3182212077_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3182212077_0_0;0;0.27;1452.80,710.73 1452.54,710.73;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949046_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949046_0_0;0;4.67;1336.83,513.19 1337.67,512.01 1338.48,511.64 1339.27,512.07 1340.03,513.29;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949048_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949048_0_0;0;4.67;1416.01,516.44 1416.85,515.26 1417.66,514.89 1418.45,515.32 1419.21,516.54;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949049_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949049_0_0;0;4.67;1496.77,526.33 1497.60,525.15 1498.41,524.77 1499.20,525.19 1499.97,526.41;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949057_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949057_0_0;0;4.67;1577.97,545.40 1578.81,544.22 1579.62,543.85 1580.41,544.28 1581.17,545.50;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949079_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949079_0_0;0;0.10;1535.53,714.25 1535.53,714.25;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3292949079_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3292949079_1_0;0;0.10;1535.65,711.05 1535.65,711.05;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3444960769_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3444960769_0_0;0;0.10;1572.99,794.85 1572.99,794.85;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3444960769_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3444960769_1_0;0;0.10;1569.79,794.75 1569.79,794.75;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3444960769_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3444960769_2_0;0;2.34;1569.79,794.75 1570.63,793.57 1571.44,793.20;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3444960769_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3444960769_3_0;0;2.34;1571.44,793.20 1572.23,793.63 1572.99,794.85;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3458580379_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3458580379_0_0;0;0.29;1405.43,939.98 1405.14,939.97;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3458580379_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3458580379_0_1;1;0.29;1405.53,936.78 1405.23,936.77;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
